,PLAYER,PLAYER_ID
428,Jonathan Mogbo,1642367
429,Brandon Ingram,1627742
430,Scottie Barnes,1630567
431,Immanuel Quickley,1630193
432,Jared Rhoden,1631197
433,RJ Barrett,1629628
434,Colin Castleton,1630658
435,Ja'Kobe Walter,1642266
436,Garrett Temple,202066
437,Jakob Poeltl,1627751
438,Ulrich Chomche,1642279
439,Jamal Shead,1642347
440,Chris Boucher,1628449
441,Ochai Agbaji,1630534
442,Jamison Battle,1642419
443,Jordan Clarkson,203903
444,Taylor Hendricks,1641707
445,Collin Sexton,1629012
446,Keyonte George,1641718
447,Cody Williams,1642262
448,Jaden Springer,1630531
449,Isaiah Collier,1642268
450,Elijah Harkless,1641989
451,Svi Mykhailiuk,1629004
452,John Collins,1628381
453,Kyle Filipowski,1642271
454,Lauri Markkanen,1628374
455,Walker Kessler,1631117
456,Micah Potter,1630695
457,Brice Sensabaugh,1641729
458,Johnny Juzang,1630548
459,Oscar Tshiebwe,1631131
460,KJ Martin,1630231
461,Zyon Pullin,1642389
462,Jaylen Wells,1642377
463,Scotty Pippen Jr.,1630590
464,Kentavious Caldwell-Pope,203484
465,Vince Williams Jr.,1631246
466,Santi Aldama,1630583
467,Lamar Stevens,1630205
468,Luke Kennard,1628379
469,Ja Morant,1629630
470,Jaren Jackson Jr.,1628991
471,Zach Edey,1641744
472,Brandon Clarke,1629634
473,Yuki Kawamura,1642530
474,Cam Spencer,1642285
475,Jay Huff,1630643
476,Marvin Bagley III,1628963
477,GG Jackson,1641713
478,John Konchar,1629723
479,Cole Anthony,1630175
480,Bilal Coulibaly,1641731
481,Tristan Vukcevic,1641774
482,Colby Jones,1641732
483,Jaylen Martin,1641798
484,AJ Johnson,1642358
485,Bub Carrington,1642267
486,Justin Champagnie,1630551
487,Jordan Poole,1629673
488,Saddiq Bey,1630180
489,Malcolm Brogdon,1627763
490,Anthony Gill,1630264
491,Kyshawn George,1642273
492,Alex Sarr,1642259
493,JT Thor,1630550
494,Richaun Holmes,1626158
495,Corey Kispert,1630557
496,Khris Middleton,203114
497,Marcus Smart,203935
498,Jalen Duren,1631105
499,Ronald Holland II,1641842
500,Cade Cunningham,1630595
501,Malik Beasley,1627736
502,Paul Reed,1630194
503,Tim Hardaway Jr.,203501
504,Ausar Thompson,1641709
505,Tobias Harris,202699
506,Ron Harper Jr.,1631199
507,Dennis Schröder,203471
508,Simone Fontecchio,1631323
509,Jaden Ivey,1631093
510,Daniss Jenkins,1642450
511,Marcus Sasser,1631204
512,Isaiah Stewart,1630191
513,Bobi Klintman,1641752
514,Tolu Smith,1642449
515,Lindy Waters III,1630322
516,Miles Bridges,1628970
517,LaMelo Ball,1630163
518,Grant Williams,1629684
519,DaQuan Jeffries,1629610
520,Mark Williams,1631109
521,Damion Baugh,1641878
522,Nick Smith Jr.,1641733
523,Wendell Moore Jr.,1631111
524,Josh Green,1630182
525,Jusuf Nurkić,203994
526,Josh Okogie,1629006
527,Moussa Diabaté,1631217
528,Tre Mann,1630544
529,Brandon Miller,1641706
530,KJ Simpson,1642354
531,Seth Curry,203552
532,Tidjane Salaün,1642275
533,Taj Gibson,201959
